name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu,type
Litti House,Yes,No,3.9 /5,200,Brookefield,Quick Bites,"North Indian, Bihari, Rajasthani",300,[],Delivery
Ginger & Garlic,Yes,No,3.6 /5,92,Brookefield,Quick Bites,"South Indian, North Indian, Chinese",350,[],Delivery
Firangi Bake,Yes,No,4.1 /5,82,Whitefield,Delivery,"Mexican, Italian",600,"['Moroccan Chickpea Lasagne', 'Corn & Pimento Lasagne', 'Tuscany Meatball Lasagne', 'Bombay Masala Quesadilla', 'Masala Chicken Quesadilla', 'Chocolate Ecstasy', 'CheeseCake (Pack Of 2)', 'Grilled Chicken Nuggets with Mayo Dip', 'Veg Mac N Cheese', 'Butter Chicken Mac N Cheese', 'Veg and Non Veg Quesadillas for 2', 'Veg Quesadillas For 2', 'Chickpea Nuggets with Mayo Dip', 'Grilled Chicken Nuggets with Mayo Dip', 'Tangy Channa Quesadilla', 'Bombay Masala Quesadilla', 'Pimento & Sausages Quesadilla', 'Chipotle Meatball Quesadilla', 'Masala Chicken Quesadilla', 'Veg Mac N Cheese', 'Kheema Meatball Mac N Cheese', 'Butter Chicken Mac N Cheese', 'Kheema Sausage Mac N Cheese', 'Paneer Tikka & Roasted Veggies Mac N Cheese', 'Moroccan Chickpea Lasagne', 'Corn & Pimento Lasagne', 'Tuscany Meatball Lasagne', 'SWIG Jeera Masala', 'Raspberry Cheesecake Shot', 'Chocolate Ecstasy', 'Chocolate Decadence (Pack of 2)', 'Plum Cake', 'CheeseCake (Pack Of 2)', 'Chocolate Decadence + CheeseCake', 'Minty Chaas', 'Valentine Red Velvet Jar', 'Valentine Chocolate Jar', 'Valentines Jar Combo', 'Gajar Ka Halwa (Single Serve)']",Delivery
Dunkin' Donuts,Yes,No,4.0 /5,186,Brookefield,"Quick Bites, Dessert Parlor","Desserts, Cafe, Beverages, Burger, Fast Food",550,"['Big Joy Mayo Chicken Burger', 'Double Big Joy Mayo Chicken Burger', 'Dunkin Classic Chicken Burger', 'ChefÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ¢Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x80Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x99s Special Veg Burger', 'Spicy Grilled Chicken Burger', 'Tex Mex Potato Wedges', 'Classic Dunkaccino', 'All Time Favourite Donuts [Pack of 3]', 'All Time Favourite Donuts [Pack of 6]', 'All Time Favourite Donuts [Pack of 12]', 'Assorted Delights Donuts [Pack of 6]', 'Assorted Delights Donuts [Pack of 9]', 'Dunkin Classic Chicken Meal', 'Breakup Party Eclair Donut', 'Death By Chocolate Donut', 'Rainbow Pop Donut', 'Very Very Strawberry Donut', ""Valentine's Day Special - Pack of 6 Donuts"", ""Valentine's Day Special - Pack of 6 Donuts"", 'All Time Favourite Donuts [Pack of 3]', 'All Time Favourite Donuts [Pack of 6]', 'All Time Favourite Donuts [Pack of 12]', 'Signature Donuts [Pack of 6]', 'Assorted Delights Donuts [Pack of 6]', 'Assorted Delights Donuts [Pack of 9]', 'Classic Donuts [Pack of 6]', 'Big Joy Mayo Veg Meal', 'ChefÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ¢Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x80Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x99s Special Burger Meal', 'Naughty Lucy Veg Meal', 'Farmhouse Monster Meal', 'Double Big Joy Veg Meal', 'Double Big Joy Mayo Veg Meal', 'Veg Makhani Meal', 'Big Joy Mayo Chicken Meal', 'Dunkin Classic Chicken Meal', 'Double Big Joy Mayo Chicken Meal', 'Spicy Grilled Chicken Burger Meal', 'Heaven Can Wait Burger Meal', 'Naughty Lucy Chicken Meal', 'Chicken Keema Monster Burger Meal', 'Grilled Chicken Monster Meal', 'Chicken Makhani Meal', 'Breakup Party Eclair Donut', 'Choco Pop Donut', 'Cookie Cart Wheel Donut', 'Death By Chocolate Donut', 'Litchi Lychee Donut', 'Rainbow Pop Donut', 'Very Very Strawberry Donut', 'Choco Crumble Donut', 'Choco Overdose Donut', 'Alive By Choco Mini Donut', 'Bavarian Creme Mini Donut', 'Choco Frosted Mini Donut', 'Death By Choco Mini Donut', 'Choco Tella Mini Donut', 'Choco Crisp Donut', 'Chocoholic Donut', 'Choco Tella Donut', 'Choco Haven Donut', 'Choc o Choc Donut', 'Choco Villa Donut', 'Peanut Butter Island Donut', 'Choco Berry Bomb Donut', 'Chocolate Frosted Donut', 'Double Big Joy Original Veg Burger', 'Double Big Joy Mayo Veg Burger', 'Farmhouse Monster Burger', 'Big Joy Mayo Chicken Burger', 'Double Big Joy Mayo Chicken Burger', 'Dunkin Classic Chicken Burger', 'Naughty Lucy Veg Burger', 'ChefÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ¢Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x80Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x99s Special Veg Burger', 'Naughty Lucy Chicken Burger', 'Heaven Can Wait Chicken Burger', 'Spicy Grilled Chicken Burger', 'Chicken Keema Monster Burger', 'Grilled Chicken Monster Burger', 'Veg Makhani Wrap', 'Chicken Makhani Wrap', 'Tex Mex Potato Wedges', 'Potato Hash Brown [3 Pieces]', 'Tex Mex Dip', 'Classic Lemon Iced Tea', 'Classic Dunkaccino', 'Chocolate Milkshake', 'Fruit Berry Milkshake', 'Choco Dunkaccino', 'Hazelnut Dunkaccino', 'Tiramisu Dunkaccino', 'Caramel Dunkaccino', 'Coke [475 ml]', 'Mineral Water [500 ml]', 'Regular Chai', 'Ginger Chai', 'Elaichi Chai', 'Filter Coffee Dunkin Style']",Delivery
Dehati Murgee,Yes,No,4.0 /5,155,Whitefield,Quick Bites,"North Indian, Mughlai",600,[],Delivery
Ji Hazoor,Yes,Yes,4.0 /5,2852,Whitefield,"Casual Dining, Bar","Mughlai, North Indian, Biryani, Afghan","1,100","['Dal Tadka', 'Dal Makhani', 'Paneer Tikka Masala', 'Kadai Paneer', 'Paneer Makhani', 'Malai Kofta', 'Mutton Rogan Josh', 'Jeera Rice', 'Veg Pulao', 'Murgh Dum Biryani', 'Mutton Biryani', 'Murgh Dum Biryani [Family Pack]', 'Mutton Biryani [Family Pack]', 'Hara Bara Kabab', 'Paneer Tikka', 'Tandoori Murgh', 'Murgh Lahori Kalmi', 'Jalebi with Rabdi', 'Roomali Roti', 'Afghani Naan', 'Stuffed Paratha', 'Paneer Tikka Masala Meal', 'Paneer Makhani Meal', 'Executive Veg Box Meal', 'Executive Non Veg Box Meal', 'Rajma Meal', 'Peshawari Channa Meal', 'Paneer Tikka Masala Meal', 'Paneer Makhani Meal', 'Egg Curry Meal', 'Butter Chicken Meal', 'Rara Murgh Meal', 'Mutton Rogan Josh Meal', 'Rara Mutton Meal', 'Veg Biryani Meal', 'Egg Biryani Meal', 'Murgh Dum Biryani Meal', 'Murgh Tikka Biryani Meal', 'Mutton Biryani Meal', 'Prawns Biryani Meal', 'Executive Veg Box Meal', 'Executive Non Veg Box Meal', 'Tomato Shorba', 'Murgh Shorba', 'Bagicha ka Salad', 'Karela Salad', 'Kaju Fry Salad', 'Murgh Tikka Salad', 'French Fries', 'Aloo Tak-a-Tak', 'Baby Corn Harimirch Wala', 'Bhatti ka Gobi', 'Hara Bara Kabab', 'Tandoori Mushroom', 'Mushroom Harimirch Wala', 'Paneer Resunga', 'Paneer Tikka', 'Peshawari Seekh Kabab', 'Tandoori Murgh', 'Murgh Lahori Kalmi', 'Mutton Pepper Dry', 'Macchi Amritsari', 'Macchi Tak-a-Tak', 'Tawa Macchi', 'Prawns Balaika', 'Prawns Tak-a-Tak', 'Tandoori Prawns', 'Prawns Harimirch Wala', 'Dal Tadka', 'Dal Makhani', 'Paneer Tikka Masala', 'Paneer Saagwala', 'Kadai Paneer', 'Paneer Makhani', 'Mushroom Matar', 'Veg Patiala', 'Diwani Handi', 'Kadai Veg', 'Rajma', 'Sarson ka Saag', 'Aloo Gobi Masala', 'Bhindi Do Pyaza', 'Peshawari Channa', 'Malai Kofta', 'Kaju Masala', 'Egg Bhurji', 'Egg Masala', 'Rarra Mutton', 'Mutton Rogan Josh', 'Methi Macchi Masala', 'Macchi Jalfrezi', 'Prawns Masala', 'Plain Rice', 'Curd Rice', 'Jeera Rice', 'Veg Pulao', 'Peas Pulao', 'Veg Biryani', 'Egg Biryani', 'Murgh Dum Biryani', 'Murgh Tikka Biryani', 'Mutton Biryani', 'Prawns Biryani', 'Egg Biryani [Family Pack]', 'Murgh Dum Biryani [Family Pack]', 'Murgh Tikka Biryani [Family Pack]', 'Mutton Biryani [Family Pack]', 'Prawns Biryani [Family Pack]', 'Phulka', 'Roti', 'Butter Roti', 'Harimirch Paratha', 'Lalmirch Paratha', 'Garlic Naan', 'Naan', 'Butter Naan', 'Lachha Paratha', 'Kulcha', 'Butter Kulcha', 'Makkai Ki Roti', 'Roomali Roti', 'Afghani Naan', 'Peshawari Paratha', 'Stuffed Paratha', '8 Roti ka Chota Khazana', '12 Roti ka Bada Khazana', 'Egg Paratha', 'Mutton Keema Paratha', 'Roasted Papad', 'Masala Papad', 'Plain Curd', 'Mixed Veg Raita', 'Boondi Raita', 'Cucumber Raita', 'Pineapple Raita', 'Onion Raita', 'Mint Raita', 'Rabdi', 'Jalebi', 'Jalebi with Rabdi', 'Gulab Jamun', 'Rasgulla', 'Bhune Jeere ki Chaach', 'Jal Jeera', 'Meetha Punjabi Lassi', 'Namkeen Punjabi Lassi', 'Masala Punjabi Lassi', 'Patiala Punjabi Lassi', 'Meetha Nimboo Paani', 'Namkeen Nimboo Paani', 'Roohafza Sherbat', 'Mineral Water [1 litre]']",Delivery
Bloomsbury's Global Kitchen & Bakehouse,Yes,Yes,4.5 /5,755,Whitefield,"Cafe, Dessert Parlor","American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",900,[],Delivery
Chandrika Tiffins,Yes,No,4.0 /5,87,Whitefield,"Takeaway, Delivery","North Indian, Street Food",300,[],Delivery
New Udupi Delicacy,Yes,No,3.9 /5,91,Whitefield,Quick Bites,"South Indian, North Indian, Chinese",250,[],Delivery
U.P. Dhaba,Yes,No,2.8 /5,514,Whitefield,Quick Bites,"North Indian, Chinese",350,[],Delivery
Tastybites.com,Yes,No,3.7 /5,82,Brookefield,Quick Bites,"Fast Food, Sandwich, South Indian",150,[],Delivery
Palak Ande Ka Funda,Yes,No,3.2 /5,92,Brookefield,Quick Bites,North Indian,300,"['Dal Fry', 'Gobi Manchurian', 'Paneer Chilli', 'Mushroom Manchurian', 'Chicken Kabab Dry', 'Deep Fried Chicken Dry [6 Pieces]', 'Chicken Chilli Dry', 'Veg Biryani', 'Jeera Rice', 'Egg Biryani', 'Chicken Biryani', 'Veg Fried Rice', 'Chicken Noodles', 'North Indian Meal', 'Paratha Meal', 'Roti Meal', 'Rice Meal', 'Non Veg Meal', 'Fish Meal', 'North Indian Meal', 'Paratha Meal', 'Roti Meal', 'Rice Meal', 'Non Veg Meal', 'Fish Meal', 'Fish Curry Roti', 'Fish Curry Rice', 'Tomato Soup', 'Vegetable Soup', 'Chicken Veg Soup', 'Chicken Mushroom Soup', 'Gobi Chilli', 'Gobi Manchurian', 'Crispy Chilli Potato', 'Paneer Chilli', 'Paneer Manchurian', 'Mushroom Manchurian', 'Mushroom Chilli', 'Baby Corn Manchurian', 'Baby Corn Manchurian Chilli', 'Onion Pakoda [6 Pieces]', 'Paneer Pakoda [10 Pieces]', 'Aloo Fry', 'Aloo Gobi Mixed Fry', 'Aloo Bhindi Mixed Fry', 'Gobi Fry', 'Bhindi Fry', 'Karela Fry', 'Chicken Kabab Dry', 'Deep Fried Chicken Dry [6 Pieces]', 'Paper Chicken Dry', 'Chicken Manchurian Dry', 'Chicken Chilli Dry', 'Fish Fry', 'Dum Aloo', 'Aloo Jeera', 'Aloo Methi', 'Aloo Palak', 'Paneer Bhurji', 'Palak Paneer', 'Paneer Makhani', 'Plain Palak', 'Baigan Bharta', 'Dal Fry', 'Yellow Dal Tadka', 'Dal Makhani', 'Methi Dal', 'Palak Dal', 'Egg Dal Mughlai', 'Egg Bhurji [2 Egg]', 'Chicken Manchurian Gravy', 'Chicken Chilli Gravy', 'Fish Curry', 'Roti', 'Butter Roti', 'Plain Paratha', 'Aloo Paratha', 'Onion Paratha', 'Gobi Paratha', 'Aloo Methi Paratha', 'Sattu Paratha', 'Muli Paratha', 'Methi Paratha', 'Paneer Paratha', 'Pudina Paratha', 'Veg Mixed Paratha', 'Egg Paratha', 'Pulao', 'Veg Biryani', 'Curd Rice', 'Ghee Rice', 'Tomato Rice', 'Masala Rice', 'Lemon Rice', 'Jeera Rice', 'Egg Biryani', 'Chicken Biryani', 'Veg Fried Rice', 'Veg Schezwan Fried Rice', 'Mushroom Fried Rice', 'Paneer Fried Rice', 'Gobi Fried Rice', 'Egg Fried Rice', 'Egg Schezwan Fried Rice', 'Chicken Fried Rice', 'Chicken Schezwan Fried Rice', 'Veg Noodles', 'Veg Chowmein', 'Veg Schezwan Noodles', 'Paneer Noodles', 'Mushroom Noodles', 'Egg Noodles', 'Egg Chowmein', 'Egg Schezwan Noodles', 'Chicken Noodles', 'Chicken Chowmein', 'Chicken Schezwan Noodles', 'Veg Roll', 'Paneer Roll', '2 Egg Roll', 'Chicken Roll', 'Egg Pakoda [6 Egg]', 'Egg Chilli', 'Egg Omelette [2 Egg]', 'Boiled Egg [2 Egg]', 'Bread Omelette', 'Half Fry', 'Veg Omelette', 'Green Salad', 'Vegetable Raita', 'Boondi Raita', 'Onion Raita', 'Papad', 'Masala Papad', 'Curd', 'Buttermilk', 'Sweet Lassi', 'Salt Lassi', 'Sweet Lime Soda', 'Salt Lime Soda', 'Sweet Lime Juice', 'Salt Lime Juice', 'Hot Milk']",Delivery
Sri Lakshmi Vaibhav,Yes,No,4.0 /5,159,Whitefield,Casual Dining,"South Indian, North Indian, Chinese",500,[],Delivery
Simhapuri Kitchen,Yes,Yes,3.9 /5,513,Brookefield,Casual Dining,"Andhra, Biryani, Chinese, South Indian",800,"['Fire Grilled Chicken', 'Rayalaseema Chicken Fry', 'Veg Dum Biryani', 'Chicken Dum Biryani', 'Gongura Chicken Biriyani', 'Gongura Chicken Biriyani Boneless', 'Boneless Chicken Biryani', 'Ullipaya Kodi Biryani Boneless', 'Prawns Biryani', 'Chicken Biryani Family Pack', 'Ulavacharu Veg Biryani', 'Gongura Chicken Curry', 'Gongura Chicken Curry Boneless', 'Gongura Chicken Biriyani Familypack Bl', 'Veg Dum Biryani', 'Paneer Biryani', 'Egg Biryani', 'Guttivanka Biriyani', 'Chicken Dum Biryani', 'Gongura Chicken Biriyani', 'Gongura Chicken Biriyani Boneless', 'Boneless Chicken Biryani', 'Ulavacharu Chicken Biriyani Boneless', 'Mutton Dum Biryani', 'Fish Biryani', 'Ullipaya Kodi Biryani Boneless', 'Prawns Biryani', 'Gongura Mutton Biriyani', 'Pandu Mirchi Paneer Biriyani Familypack', 'Family Pack Veg Biryani', 'Veg Dum Biriyani Family Pack', 'Egg Biriyani Family Pack', 'Chicken Biryani Family Pack', 'Plain Rice', 'Curd Rice', 'Jeera Rice', 'Ghee Rice', 'Egg Drop Soup', 'Set Dosa with Andhra Chicken Curry', 'Ulavacharu Veg Biryani', 'Avakai Chicken Biryani', 'Ulavacharu Chicken Biryani', 'Guntur Kodi Biryani', 'Chicken Lollipop Biryani', 'Avakai Mutton Biryani', 'Pachi Mirchi Mutton Biryani', 'Ulavacharu Mutton Biriyani', 'Phulka', 'Butter Phulka', 'Plain Naan', 'Tandoori Roti', 'Tandoori Butter Roti', 'Ajwain Roti', 'Chilli Garlic Roti', 'Butter Naan', 'Garlic Naan', 'Methi Roti', 'Plain Kulcha', 'Ajwaini Kulcha', 'Butter Kulcha', 'Masala Kulcha', 'Methi Kulcha', 'Onion Kulcha', 'Paneer Kulcha', 'Pudina Kulcha', 'Stuffed Kulcha', 'Veg Hot N Sour Soup', 'Veg Lemon Coriander Soup', 'Veg Manchow Soup', 'Veg Sweet Corn Soup', 'Veg Clear Soup', 'Chicken Noodles Soup', 'Chicken Chicken Hot & Sour Soup', 'Chicken Lemon Coriander Soup', 'Chicken Manchow Soup', 'Chicken Clear Soup', 'Chicken Sweet Corn Soup', 'Miriyala Kodi Biriyani Bonless', 'Guntur Egg Biriyani', 'Pandu Mirchi Gobi Biriyani', 'Special Fried Chicken Biriyani', 'Hariyali Paneer Tikka', 'Paneer Tikka', 'Fire Grilled Chicken', 'Tangdi Kebab', 'Grill Chicken (half)', 'Tandoor Chicken (half)', 'Tangdi Kebab (2 Pcs)', 'Andhra Chicken Fry', 'Guntur Chicken', 'Chicken Tikka', 'Rayalaseema Chicken Fry', 'Andhra Chicken Fry Boneless', 'Miriyala Kodi Vepudu', 'Panda Mirchi Kodi Vepudu', 'Chicken Chilli Garlic Kebab', 'Chicken Malai Kebab', 'Chicken Chilli Garlic Kebab', 'Rayalaseema Chicken Fry', 'Tangdi Kebab', 'Hariyali Murgh', 'Miriyala Mutton Vepudu', 'Tandoori Chicken', 'Gobi Chilli', 'Gobi 65', 'Gobi Manchurian', 'Baby Corn 65', 'Baby Corn Manchurian', 'Babycorn Chilli', 'Crispy Baby Corn', 'Veg Manchurian', 'Crispy Corn', 'Chilli Paneer', 'Paneer 65', 'Paneer Manchurian', 'Veg Noodle Soup', 'Chilli Egg', 'Egg Manchurian', 'Lemon Chicken', 'Chicken Manchurian', 'Chilli Chicken', 'Crispy Chicken', 'Chicken Lollipop Dry', 'Drums Of Heaven', 'Guntur Egg Vepudu', 'Gongura Veg Curry', 'Gongura Gobi Biriyani', 'Godavari Mutton Currry', 'Dal Butter Fry', 'Dal Tadka', 'Gongura Pappu', 'Palakura Pappu', 'Tomato Dal', 'Guttivankaya Kura', 'Methi Kadai', 'Mixed Vegetable Masala', 'Kadhai Methi', 'Kadhai Vegetable', 'Veg Chat Pat', 'Kadhai Paneer', 'Palak Paneer', 'Paneer Butter Masala', 'Paneer Chatphat', 'Egg Masala', 'Chettinadu Egg Masala', 'Egg Green Masala', 'Achaari Chicken', 'Chicken Chatphat', 'Chicken Kolhapuri', 'Chicken Rogan Gosh', 'Kadhai Chicken', 'Palak Chicken', 'Pepper Chicken Masala', 'Chicken Afghani', 'Butter Chicken', 'Lagan Chicken', 'Singareni Chicken Curry', 'Achari Chicken', 'Punjab Chicken BL', 'Lagan Chicken Boneless', 'Mutton Masala', 'Shahi Mutton', 'Haryali Fish Tikkaa', 'Gongura Chicken Curry', 'Gongura Chicken Curry Boneless', 'Gongura Mutton Curry', 'Gongura Mutton', 'Veg Noodles', 'Veg Chilli Garlic Noodles', 'Veg Schezwan Noodles', 'Veg Hakka Noodles', 'Veg Fried Rice', 'Veg Chilli Garlic Fried Rice', 'Gobi Fried Rice', 'Veg Schezwan Fried Rice', 'Chilli Garlic Veg Noodless', 'Veg Noodless', 'Egg Noodles', 'Egg Chilli Garlic Noodles', 'Egg Hakka Noodles', 'Egg Schezwan Noodles', 'Szechwan Egg Noodless', 'Egg Fried Rice', 'Egg Chilli Garlic Fried Rice', 'Egg Schezwan Fried Rice', 'Chicken Noodles', 'Szechwan Chicken Noodless', 'Chicken Fried Rice', 'Chicken Hakka Noodles', 'Chicken Hakka Noodless', 'Chicken Chilli Garlic Noodles', 'Chicken Schezwan Noodles', 'Chicken Chilli Garlic Fried Rice', 'Chicken Schezwan Fried Rice', 'Butter Milk', 'Fresh Lime Water', 'Masala Buttermilk', 'Lassi (sweet/salt)', 'Double Egg Dosa', 'Gongura Chicken Biriyani Familypack Bl']",Delivery
Slurpy Shakes,Yes,No,3.7 /5,11,Whitefield,Beverage Shop,Beverages,300,[],Delivery
Food Singh,No,No,NEW,0,Whitefield,Delivery,North Indian,500,[],Delivery
S'Mack,Yes,No,3.7 /5,15,Whitefield,Quick Bites,"Rolls, Sandwich",300,"['BBQ Chicken Tikka Burger', 'BBQ Jucy Lucy Chicken Cheese Burger', 'Peri Peri Chicken Cheese Burger', 'Peri Peri Chicken Tikka Burger', 'BBQ Double Decker Chicken Cheese Burger', 'Grilled Cheese Corn Sandwich', 'Inside Out Grilled Cheese Sandwich', 'Egg N Cheese Sandwich', 'BBQ Shredded Chicken Tikka Sandwich', 'Chicken Coleslaw Sandwich', 'Chicken Tikka Sandwich', 'Signature Cheesy Paneer Wrap', 'Peri Peri Paneer Tikka Wrap', 'Paneer Tikka Wrap', 'Chicken Tikka Wrap', 'Peri Peri Chicken Tikka Wrap', 'Signature Cheesy Chicken Wrap', 'Peri Peri Chicken', 'Chicken Tikka', 'BBQ Chicken Tikka Burger', 'BBQ Jucy Lucy Chicken Cheese Burger', 'Peri Peri Chicken Cheese Burger', 'Peri Peri Chicken Tikka Burger', 'BBQ Double Decker Chicken Cheese Burger', 'Grilled Cheese Corn Sandwich', 'Inside Out Grilled Cheese Sandwich', 'Egg N Cheese Sandwich', 'BBQ Shredded Chicken Tikka Sandwich', 'Chicken Coleslaw Sandwich', 'Chicken Tikka Sandwich', 'Signature Cheesy Paneer Wrap', 'Peri Peri Paneer Tikka Wrap', 'Paneer Tikka Wrap', 'Egg Cheese N Sausage Wrap', 'Egg N Cheese Wrap', 'Chicken Tikka Wrap', 'Chicken Doner Shawarma Wrap', 'Peri Peri Chicken Tikka Wrap', 'Signature Cheesy Chicken Wrap', 'Masala Lemonade', 'Blue Heaven']",Delivery
AutoExpress - Hot Dogs,Yes,No,3.5 /5,14,Whitefield,"Takeaway, Delivery",Fast Food,300,[],Delivery
